table_name	column_name
Opportunity	IsGroup
Opportunity	ContractNo
Opportunity	TechnicalResultID
Opportunity	BookRate
Opportunity	ReadOnly
Opportunity	StatusReason
Opportunity	IsPosted
Opportunity	PostedClaimCost
Opportunity	PostedNetPremium
Opportunity	PostedClaimAdj
Opportunity	PricingCounter
Opportunity	GroupContracts
Opportunity	SavedTechnicalResultID
Opportunity	RenewalClaimCost
Opportunity	SchemesWithoutNetwork
Opportunity	CreatedDate
Opportunity	OptionNumber
Opportunity	OptionStatus
Opportunity	VAT
Opportunity	LastPostedBy
Opportunity	LastPostedDate
Opportunity	MOHImpact
Opportunity	ActuarialBookRate
Opportunity	ActuarialOfficeRate
Opportunity	PostedUserRole
Opportunity	PostedAuthority
Opportunity	CreditBalance
Opportunity_Audit	ID
Opportunity_Audit	OpportunityID
Opportunity_Audit	QuoteID
Opportunity_Audit	SalesPerson
Opportunity_Audit	PreparedBy
Opportunity_Audit	QuotationDate
Opportunity_Audit	GroupSize
Opportunity_Audit	Company
Opportunity_Audit	InceptionDate
Opportunity_Audit	Region
Opportunity_Audit	Broker
Opportunity_Audit	BrokerCommission
Opportunity_Audit	OpportunityType
Opportunity_Audit	IPACStatus
Opportunity_Audit	AuthorityLevel
Opportunity_Audit	PaymentFrequency
Opportunity_Audit	ExGratia
Opportunity_Audit	IsRenewal
Opportunity_Audit	IsGroup
Opportunity_Audit	ContractNo
Opportunity_Audit	TechnicalResultID
Opportunity_Audit	BookRate
Opportunity_Audit	ReadOnly
Opportunity_Audit	StatusReason
Opportunity_Audit	IsPosted
Opportunity_Audit	PostedClaimCost
Opportunity_Audit	PostedNetPremium
Opportunity_Audit	PostedClaimAdj
Opportunity_Audit	PricingCounter
Opportunity_Audit	GroupContracts
Opportunity_Audit	SavedTechnicalResultID
Opportunity_Audit	RenewalClaimCost
Opportunity_Audit	SchemesWithoutNetwork
Opportunity_Audit	CreatedDate
Opportunity_Audit	OptionNumber
Opportunity_Audit	OptionStatus
Opportunity_Audit	VAT
Opportunity_Audit	LastPostedBy
Opportunity_Audit	LastPostedDate
Opportunity_Audit	MOHImpact
Opportunity_Audit	ActuarialBookRate
Opportunity_Audit	ActuarialOfficeRate
Opportunity_Audit	PostedUserRole
Opportunity_Audit	PostedAuthority
Opportunity_Audit	CreditBalance
Opportunity_Audit	AuditDate
OpportunityAuthorityMatrix	ID
OpportunityAuthorityMatrix	OpportunityID
OpportunityAuthorityMatrix	AuthorityLevel
OpportunityAuthorityMatrix	MinContribution
OpportunityAuthorityMatrix	LossRatio
OpportunityAuthorityMatrix	Discount
OpportunityAuthorityMatrix	CreatedBy
OpportunityAuthorityMatrix	CreatedDate
OpportunityBatchID	Id
OpportunityBatchID	OppoId
OpportunityBatchID	CostCurveBatchID
OpportunityBatchID	RegionCostFactorID
OpportunityBatchID	OptionCostBatchID
OpportunityBatchID	BenefitLimitFactorBatchID
OpportunityBatchID	DeductibleFactorBatchID
OpportunityBatchID	RoomTypeFactorBatchID
OpportunityBatchID	PaymentFrequencyFactorBatchID
OpportunityBatchID	DeductibleCapBatchID
OpportunityBatchID	NationalityFactorBatchID
OpportunityBatchID	Inceptiondate
OpportunityBatchID	CreatedDate
OpportunityConfigration	ID
OpportunityConfigration	OpportunityID
OpportunityConfigration	ClaimExprinceInflationY1
OpportunityConfigration	ClaimExprinceInflationY2
OpportunityConfigration	ClaimExprinceInflationY3
OpportunityConfigration	CommissionLoading
OpportunityConfigration	ContingencyLoading
OpportunityConfigration	FinancialLoading
OpportunityConfigration	ProfitLoading
OpportunityConfigration	TotalLoading
OpportunityConfigration	Q1Inflation
OpportunityConfigration	Q2Inflation
OpportunityConfigration	Q3Inflation
OpportunityConfigration	Q4Inflation
OpportunityConfigration	TotalInflation
OpportunityConfigration	CredibilityFactor
OpportunityConfigration	PlanNWSplitAvg
OpportunityConfigration	LoadingFactor
OpportunityConfigration	ExpanseRatio
OpportunityConfigration	CreatedBy
OpportunityConfigration	CreatedDate
OpportunityConfigration	ModifiedBy
OpportunityConfigration	ModifiedDate
OpportunityConfigration	BupaDiscount
OpportunityConfigration	CompetitorDiscount
OpportunityConfigration	AmbulanceAdj
OpportunityConfigration	PreviousYearsCCHI
OpportunityConfigration	CurrentYearCCHI
